time_s,theta_rad,theta_dot_rad_s,alpha_rad,alpha_dot_rad_s,pwm,mode,blend,action_norm,policy_raw
9.450000000000001,-0.7588501,0.2921897,0.0370646,-0.8102292,-147.0,3,0.9999999,-0.977302,-2.2336068
9.5,-0.7121516,0.5921321,0.0370646,-0.2993847,109.0,3,0.9999999,0.7239747,0.9159476
9.55,-0.700477,0.5332064,-0.0190688,-1.1156191,-150.0,3,0.9999999,-0.999852,-4.75563
9.6,-0.7471755,-1.3218902,0.0103781,0.3831068,-102.0,3,0.9999999,-0.6811119,-0.8311852
9.65,-0.7413382,0.0538752,0.0578207,-0.2964363,42.0,3,0.9999999,0.2821005,0.2899627
9.700000000000001,-0.6479413,1.3710627,0.0192736,-1.1810718,-144.0,3,0.9999999,-0.9612422,-1.9620004
9.75,-0.624592,-0.3663059,-0.0047672,0.5350025,118.0,3,0.9999999,0.7884053,1.0672032
9.8,-0.6771278,-0.658905,-0.0047672,0.4553752,19.0,3,0.9999999,0.1246874,0.1253397
9.85,-0.6362666,-0.8083697,0.0059303,0.635858,107.0,3,0.9999999,0.7138814,0.8950546
9.9,-0.6421039,-0.8983723,0.0044477,0.1592463,-127.0,3,0.9999999,-0.8497284,-1.2551751
9.950000000000001,-0.6596158,-0.5630491,0.0400297,0.2867307,120.0,3,0.9999999,0.7995882,1.0974695
