trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
101,155.17584112451542,"{""ent_coef"": 0.019948438264109768, ""learning_rate"": 0.00020041230397830053, ""target_kl_code"": 0}",runs\search_ppo_t0101_20260722_190225,0,0,0,2026-07-22T17:03:04+00:00
102,189.63457413476195,"{""ent_coef"": 0.0014871833364643273, ""learning_rate"": 0.00017188033823597196, ""target_kl_code"": 0}",runs\search_ppo_t0102_20260722_190305,0,0,0,2026-07-22T17:03:43+00:00
103,190.7494856694523,"{""ent_coef"": 0.014833840016369679, ""learning_rate"": 0.00033597514154929124, ""target_kl_code"": 0}",runs\search_ppo_t0103_20260722_190343,0,0,0,2026-07-22T17:04:27+00:00
104,24.75490366388685,"{""ent_coef"": 0.00038797974664136754, ""learning_rate"": 0.00015461492332345924, ""target_kl_code"": 0}",runs\search_ppo_t0104_20260722_190427,0,0,0,2026-07-22T17:05:01+00:00
105,75.64012347239806,"{""ent_coef"": 0.0006962730902733584, ""learning_rate"": 0.000192190444454254, ""target_kl_code"": 0}",runs\search_ppo_t0105_20260722_190502,0,0,0,2026-07-22T17:05:40+00:00
106,34.47947787236262,"{""ent_coef"": 0.00769913871996639, ""learning_rate"": 0.0001663718437987824, ""target_kl_code"": 2}",runs\search_ppo_t0106_20260722_190540,0,0,0,2026-07-22T17:06:16+00:00
107,66.65871759227534,"{""ent_coef"": 0.012076770796919652, ""learning_rate"": 0.0001796226261908665, ""target_kl_code"": 3}",runs\search_ppo_t0107_20260722_190616,0,0,0,2026-07-22T17:06:52+00:00
108,190.866250290178,"{""ent_coef"": 0.0009590884467682659, ""learning_rate"": 0.00032797015443720735, ""target_kl_code"": 0}",runs\search_ppo_t0108_20260722_190652,0,0,0,2026-07-22T17:07:35+00:00
109,108.35227534869439,"{""ent_coef"": 0.0012639862438019944, ""learning_rate"": 0.0003085612332154661, ""target_kl_code"": 1}",runs\search_ppo_t0109_20260722_190735,0,0,0,2026-07-22T17:08:11+00:00
110,147.45446363235882,"{""ent_coef"": 0.0009459676468561792, ""learning_rate"": 0.00036148036636860913, ""target_kl_code"": 0}",runs\search_ppo_t0110_20260722_190812,0,0,0,2026-07-22T17:08:49+00:00
111,111.02746091756748,"{""ent_coef"": 0.00048548063278449125, ""learning_rate"": 0.0003300350308289925, ""target_kl_code"": 0}",runs\search_ppo_t0111_20260722_190849,0,0,0,2026-07-22T17:09:28+00:00
112,190.5996223065271,"{""ent_coef"": 0.0007605710923362448, ""learning_rate"": 0.00028907796667337025, ""target_kl_code"": 0}",runs\search_ppo_t0112_20260722_190928,0,0,0,2026-07-22T17:10:09+00:00
113,68.02439160540443,"{""ent_coef"": 0.006686233150602639, ""learning_rate"": 0.0003557865735939364, ""target_kl_code"": 0}",runs\search_ppo_t0113_20260722_191009,0,0,0,2026-07-22T17:10:44+00:00
114,163.92319173334664,"{""ent_coef"": 0.00044451422185243315, ""learning_rate"": 0.0003250025708372625, ""target_kl_code"": 0}",runs\search_ppo_t0114_20260722_191044,0,0,0,2026-07-22T17:11:22+00:00
115,146.20389108418013,"{""ent_coef"": 0.0003045039724824969, ""learning_rate"": 0.00039819270073158556, ""target_kl_code"": 3}",runs\search_ppo_t0115_20260722_191122,0,0,0,2026-07-22T17:12:00+00:00
116,29.90612044255529,"{""ent_coef"": 0.0029514644365194512, ""learning_rate"": 0.0002781906483756139, ""target_kl_code"": 0}",runs\search_ppo_t0116_20260722_191200,0,0,0,2026-07-22T17:12:36+00:00
117,190.4943825849149,"{""ent_coef"": 0.0009571550486074787, ""learning_rate"": 0.0002664820473934378, ""target_kl_code"": 0}",runs\search_ppo_t0117_20260722_191236,0,0,0,2026-07-22T17:13:16+00:00
118,155.15790902493734,"{""ent_coef"": 0.0005751610926700665, ""learning_rate"": 0.00031062526271629016, ""target_kl_code"": 1}",runs\search_ppo_t0118_20260722_191317,0,0,0,2026-07-22T17:13:57+00:00
119,150.00796161267473,"{""ent_coef"": 0.0006289086218744775, ""learning_rate"": 0.0001608670513646824, ""target_kl_code"": 3}",runs\search_ppo_t0119_20260722_191357,0,0,0,2026-07-22T17:14:35+00:00
120,190.8077980547489,"{""ent_coef"": 0.006138628372344365, ""learning_rate"": 0.00018508703776445884, ""target_kl_code"": 0}",runs\search_ppo_t0120_20260722_191435,0,0,0,2026-07-22T17:15:15+00:00
121,190.82748347326526,"{""ent_coef"": 0.013720605355774995, ""learning_rate"": 0.0002284915510104636, ""target_kl_code"": 0}",runs\search_ppo_t0121_20260722_191515,0,0,0,2026-07-22T17:15:58+00:00
122,56.87596136519883,"{""ent_coef"": 0.01709863817238125, ""learning_rate"": 0.000249060497861608, ""target_kl_code"": 0}",runs\search_ppo_t0122_20260722_191558,0,0,0,2026-07-22T17:16:34+00:00
123,190.3535093646637,"{""ent_coef"": 0.015831919263578235, ""learning_rate"": 0.00030363759174379887, ""target_kl_code"": 0}",runs\search_ppo_t0123_20260722_191634,0,0,0,2026-07-22T17:17:16+00:00
124,77.14481776048859,"{""ent_coef"": 0.0015997761480617565, ""learning_rate"": 0.00029676515703964767, ""target_kl_code"": 0}",runs\search_ppo_t0124_20260722_191716,0,0,0,2026-07-22T17:17:52+00:00
125,190.7982291160082,"{""ent_coef"": 0.017892395820861794, ""learning_rate"": 0.00028352680902264487, ""target_kl_code"": 0}",runs\search_ppo_t0125_20260722_191752,0,0,0,2026-07-22T17:18:33+00:00
126,190.80921150719186,"{""ent_coef"": 0.014719268648736789, ""learning_rate"": 0.0002167656348814389, ""target_kl_code"": 2}",runs\search_ppo_t0126_20260722_191833,0,0,0,2026-07-22T17:19:14+00:00
127,156.73781802118853,"{""ent_coef"": 0.01141389550471001, ""learning_rate"": 0.00027111326830171534, ""target_kl_code"": 0}",runs\search_ppo_t0127_20260722_191914,0,0,0,2026-07-22T17:19:58+00:00
