trial,score,params_json,run_dir,pruned,failed,is_baseline,timestamp
65,-14.475548385599325,"{""exploration_decay"": 340764.0967869395, ""learning_rate"": 0.0006138406403782417, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0065_20260722_184830,0,0,0,2026-07-22T16:49:19+00:00
66,-11.725636467353041,"{""exploration_decay"": 207910.9969331174, ""learning_rate"": 0.0003397766187091662, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0066_20260722_184919,0,0,0,2026-07-22T16:50:07+00:00
67,-14.752285616331307,"{""exploration_decay"": 207125.80343894326, ""learning_rate"": 0.0003309670415225648, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0067_20260722_185007,0,0,0,2026-07-22T16:50:55+00:00
68,-14.328797033986714,"{""exploration_decay"": 225181.61906146182, ""learning_rate"": 0.00029048379248051563, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0068_20260722_185055,0,0,0,2026-07-22T16:51:44+00:00
69,-14.892647470339021,"{""exploration_decay"": 212631.53004687253, ""learning_rate"": 0.0003462796439993457, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0069_20260722_185144,0,0,0,2026-07-22T16:52:32+00:00
70,-12.14876521645821,"{""exploration_decay"": 200626.65887467796, ""learning_rate"": 0.00043510110920398783, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0070_20260722_185232,0,0,0,2026-07-22T16:53:20+00:00
71,-11.148032631246252,"{""exploration_decay"": 382692.9470040796, ""learning_rate"": 0.00038217840311372155, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0071_20260722_185320,0,0,0,2026-07-22T16:54:09+00:00
72,-10.94178305351631,"{""exploration_decay"": 233696.2735102167, ""learning_rate"": 0.000396959852958084, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0072_20260722_185409,0,0,0,2026-07-22T16:54:57+00:00
73,-13.99515699403571,"{""exploration_decay"": 233031.79277054145, ""learning_rate"": 0.0003662122011497314, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0073_20260722_185457,0,0,0,2026-07-22T16:55:45+00:00
74,-11.240927520361556,"{""exploration_decay"": 413823.5082723697, ""learning_rate"": 0.0003891576560129673, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0074_20260722_185546,0,0,0,2026-07-22T16:56:47+00:00
75,-11.68259045567884,"{""exploration_decay"": 413269.91764490475, ""learning_rate"": 0.00039243115977376746, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0075_20260722_185648,0,0,0,2026-07-22T16:57:50+00:00
76,-10.56030023801676,"{""exploration_decay"": 277707.9217015709, ""learning_rate"": 0.0004934068784655059, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0076_20260722_185750,0,0,0,2026-07-22T16:58:38+00:00
77,-14.927335885013328,"{""exploration_decay"": 278076.7945598391, ""learning_rate"": 0.0004905323417881399, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0077_20260722_185838,0,0,0,2026-07-22T16:59:26+00:00
78,-14.977603629680816,"{""exploration_decay"": 250243.68445830655, ""learning_rate"": 0.00043313307215948, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0078_20260722_185926,0,0,0,2026-07-22T17:00:14+00:00
79,-11.528064940458387,"{""exploration_decay"": 256397.7910383109, ""learning_rate"": 0.0005086423585215471, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0079_20260722_190015,0,0,0,2026-07-22T17:01:02+00:00
80,-14.90281404915875,"{""exploration_decay"": 261785.63389087754, ""learning_rate"": 0.0004706475975545529, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0080_20260722_190103,0,0,0,2026-07-22T17:01:51+00:00
81,-11.82548507698759,"{""exploration_decay"": 399931.6296406842, ""learning_rate"": 0.0004112112759251119, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0081_20260722_190151,0,0,0,2026-07-22T17:02:40+00:00
82,-14.100059113480459,"{""exploration_decay"": 385071.2237485446, ""learning_rate"": 0.00038727876653234526, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0082_20260722_190240,0,0,0,2026-07-22T17:03:28+00:00
83,-12.411580229796224,"{""exploration_decay"": 481178.6164703535, ""learning_rate"": 0.0003102566075497306, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0083_20260722_190328,0,0,0,2026-07-22T17:04:16+00:00
84,-14.758358269619375,"{""exploration_decay"": 383104.2987574751, ""learning_rate"": 0.00043796655611047074, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0084_20260722_190416,0,0,0,2026-07-22T17:05:05+00:00
85,-14.945585883933749,"{""exploration_decay"": 455995.5878182433, ""learning_rate"": 0.0003639542921136943, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0085_20260722_190505,0,0,0,2026-07-22T17:05:53+00:00
86,-13.893452300587022,"{""exploration_decay"": 289184.68434348865, ""learning_rate"": 0.0005410525448338002, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0086_20260722_190553,0,0,0,2026-07-22T17:06:41+00:00
87,-14.567179230957823,"{""exploration_decay"": 239976.50421344713, ""learning_rate"": 0.00047187886454907275, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0087_20260722_190641,0,0,0,2026-07-22T17:07:29+00:00
88,-11.68463691708704,"{""exploration_decay"": 236203.11435239928, ""learning_rate"": 0.0004034524046460686, ""use_double_dqn"": 1}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0088_20260722_190729,0,0,0,2026-07-22T17:08:17+00:00
89,-9.977939646590123,"{""exploration_decay"": 447208.1931322446, ""learning_rate"": 0.0007222916104904988, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0089_20260722_190818,0,0,0,2026-07-22T17:09:06+00:00
90,-10.964511578655948,"{""exploration_decay"": 527758.5786847366, ""learning_rate"": 0.0008341454915432925, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0090_20260722_190906,0,0,0,2026-07-22T17:09:54+00:00
91,-10.59518228838471,"{""exploration_decay"": 481906.33033710497, ""learning_rate"": 0.0008718444145827926, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0091_20260722_190954,0,0,0,2026-07-22T17:10:42+00:00
92,-14.841469580282785,"{""exploration_decay"": 530367.719752557, ""learning_rate"": 0.000883500243027421, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0092_20260722_191042,0,0,0,2026-07-22T17:11:31+00:00
93,-14.583759641380375,"{""exploration_decay"": 498360.05017617857, ""learning_rate"": 0.0007323142360694769, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0093_20260722_191131,0,0,0,2026-07-22T17:12:19+00:00
94,-12.240061476963987,"{""exploration_decay"": 532904.3472339155, ""learning_rate"": 0.0008520790951092531, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0094_20260722_191219,0,0,0,2026-07-22T17:13:07+00:00
95,-12.712901777713931,"{""exploration_decay"": 565230.2478981694, ""learning_rate"": 0.0009862660934885365, ""use_double_dqn"": 0}",C:\Users\kreml\AI-Enabled-PKU\lab3\2.DQN\train\runs\search_dqn_t0095_20260722_191308,0,0,0,2026-07-22T17:13:56+00:00
